"","studentid","schoolid","groupid","age","gender","grade","student_wealth","enrollment_2015","school_facilities","rural","time_to_bank","NGO_donations","W","IRT_score"
"1","1_13",1,56,12,2,2,-0.890497863292694,175,0.353239268064499,1,105,600,0,-0.621277689933777
"2","1_24",1,56,8,1,2,-0.359779566526413,175,0.353239268064499,1,105,600,0,-0.348496496677399
"3","1_20",1,56,13,2,2,-0.804179251194,175,0.353239268064499,1,105,600,0,-0.922868072986603
"4","1_23",1,56,7,1,3,-1.65504562854767,175,0.353239268064499,1,105,600,0,-2.08562779426575
"5","1_3",1,56,16,1,3,-0.818820536136627,175,0.353239268064499,1,105,600,0,1.68025457859039
"6","1_22",1,56,7,1,3,-1.21064591407776,175,0.353239268064499,1,105,600,0,-0.863936305046082
"7","1_16",1,56,6,1,3,1.54990434646606,175,0.353239268064499,1,105,600,0,-2.31272077560425
"8","1_9",1,56,6,2,4,0.0320458710193634,175,0.353239268064499,1,105,600,0,-0.63690721988678
"9","1_18",1,56,12,2,4,-0.890497863292694,175,0.353239268064499,1,105,600,0,-0.225423514842987
"10","1_1",1,56,12,1,5,-0.890497863292694,175,0.353239268064499,1,105,600,0,1.36260855197906
"11","1_12",1,56,14,2,5,1.31570601463318,175,0.353239268064499,1,105,600,0,-0.423680335283279
"12","1_4",1,56,13,2,6,0.0320458710193634,175,0.353239268064499,1,105,600,0,0.847687244415283
"13","1_2",1,56,15,2,6,-0.49867245554924,175,0.353239268064499,1,105,600,0,-0.218627259135246
"14","1_19",1,56,15,2,7,-0.818820536136627,175,0.353239268064499,1,105,600,0,-0.0527284666895866
"15","1_7",1,56,17,1,7,-1.21064591407776,175,0.353239268064499,1,105,600,0,0.899342477321625
"16","1_21",1,56,13,2,7,-1.21064591407776,175,0.353239268064499,1,105,600,0,1.10114681720734
"17","1_8",1,56,18,1,8,-1.21064591407776,175,0.353239268064499,1,105,600,0,0.349228799343109
"18","2_3",2,80,11,2,2,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,-0.71845543384552
